model,seed,accuracy,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
bert-base,0,0.9735099337748344,0.9617208919883811,0.9736283258661091,0.9448818897637795,0.9891696750902527,0.9511111111111111
quantized,0,0.9713024282560706,0.9604226001643039,0.9712317971138745,0.9516129032258065,0.9874326750448833,0.9422222222222222
distilbert,0,0.9624724061810155,0.9474814807165379,0.9618752688257346,0.9375,0.9840142095914742,0.9209302325581395
bert-base,1,0.9690949227373068,0.955526995397625,0.9692701157262219,0.9365079365079365,0.9873417721518988,0.9427312775330396
quantized,1,0.9713024282560706,0.9592817464447759,0.9713513222477848,0.943089430894309,0.9873873873873874,0.9473684210526315
distilbert,1,0.9624724061810155,0.9452656741587245,0.9623355616850808,0.9243697478991597,0.985663082437276,0.925764192139738
bert-base,2,0.9646799116997793,0.9537326293919492,0.9649359843548525,0.9448818897637795,0.9818181818181818,0.9344978165938864
quantized,2,0.9602649006622517,0.949341687234985,0.9604362906027828,0.944,0.9782608695652174,0.925764192139738
distilbert,2,0.9426048565121413,0.9225401146285779,0.9418169366665937,0.9147286821705426,0.9732620320855615,0.8796296296296297
bert-base,3,0.977924944812362,0.9709399147348788,0.9778680051858859,0.9682539682539683,0.9892086330935251,0.9553571428571429
quantized,3,0.9757174392935982,0.9674775311984615,0.9755930428408482,0.96,0.9874776386404294,0.954954954954955
distilbert,3,0.9558498896247241,0.9435791669629946,0.9553335333448568,0.9457364341085271,0.9767441860465116,0.908256880733945
bert-base,4,0.9624724061810155,0.9498315696720026,0.9624033046771677,0.9365079365079365,0.9802513464991023,0.9327354260089686
quantized,4,0.9602649006622517,0.9498894260293155,0.9601365548755959,0.9508196721311475,0.978494623655914,0.9203539823008849
distilbert,4,0.9646799116997793,0.954821855934203,0.9649708006108423,0.9516129032258065,0.9818181818181818,0.9310344827586207
